Company,Type,Plan,Age,Rate
Americo Financial Life and Annuity Insurance Company,AA,A,> 65,5042.28
Americo Financial Life and Annuity Insurance Company,AA,A,65,1752
Americo Financial Life and Annuity Insurance Company,AA,A,66,1752
Americo Financial Life and Annuity Insurance Company,AA,A,67,1752
Americo Financial Life and Annuity Insurance Company,AA,A,68,1752
Americo Financial Life and Annuity Insurance Company,AA,A,69,1823
Americo Financial Life and Annuity Insurance Company,AA,A,70,1891
Americo Financial Life and Annuity Insurance Company,AA,A,71,1947
Americo Financial Life and Annuity Insurance Company,AA,A,72,2004
Americo Financial Life and Annuity Insurance Company,AA,A,73,2060
Americo Financial Life and Annuity Insurance Company,AA,A,74,2117
Americo Financial Life and Annuity Insurance Company,AA,A,75,2175
Americo Financial Life and Annuity Insurance Company,AA,A,76,2214
Americo Financial Life and Annuity Insurance Company,AA,A,77,2254
Americo Financial Life and Annuity Insurance Company,AA,A,78,2296
Americo Financial Life and Annuity Insurance Company,AA,A,79,2338
Americo Financial Life and Annuity Insurance Company,AA,A,80,2381
Americo Financial Life and Annuity Insurance Company,AA,A,81,2416
Americo Financial Life and Annuity Insurance Company,AA,A,82,2452
Americo Financial Life and Annuity Insurance Company,AA,A,83,2489
Americo Financial Life and Annuity Insurance Company,AA,A,84,2526
Americo Financial Life and Annuity Insurance Company,AA,A,85,2564
Americo Financial Life and Annuity Insurance Company,AA,A,86,2597
Americo Financial Life and Annuity Insurance Company,AA,A,87,2632
Americo Financial Life and Annuity Insurance Company,AA,A,88,2667
Americo Financial Life and Annuity Insurance Company,AA,A,89,2700
Americo Financial Life and Annuity Insurance Company,AA,A,90,2733
Americo Financial Life and Annuity Insurance Company,AA,A,91,2753
Americo Financial Life and Annuity Insurance Company,AA,A,92,2774
Americo Financial Life and Annuity Insurance Company,AA,A,93,2792
Americo Financial Life and Annuity Insurance Company,AA,A,94,2810
Americo Financial Life and Annuity Insurance Company,AA,A,95,2828
Americo Financial Life and Annuity Insurance Company,AA,A,96,2857
Americo Financial Life and Annuity Insurance Company,AA,A,97,2885
Americo Financial Life and Annuity Insurance Company,AA,A,98,2914
Americo Financial Life and Annuity Insurance Company,AA,A,99+,2943
Americo Financial Life and Annuity Insurance Company,NA,B,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,B,65,NA
Americo Financial Life and Annuity Insurance Company,NA,B,66,NA
Americo Financial Life and Annuity Insurance Company,NA,B,67,NA
Americo Financial Life and Annuity Insurance Company,NA,B,68,NA
Americo Financial Life and Annuity Insurance Company,NA,B,69,NA
Americo Financial Life and Annuity Insurance Company,NA,B,70,NA
Americo Financial Life and Annuity Insurance Company,NA,B,71,NA
Americo Financial Life and Annuity Insurance Company,NA,B,72,NA
Americo Financial Life and Annuity Insurance Company,NA,B,73,NA
Americo Financial Life and Annuity Insurance Company,NA,B,74,NA
Americo Financial Life and Annuity Insurance Company,NA,B,75,NA
Americo Financial Life and Annuity Insurance Company,NA,B,76,NA
Americo Financial Life and Annuity Insurance Company,NA,B,77,NA
Americo Financial Life and Annuity Insurance Company,NA,B,78,NA
Americo Financial Life and Annuity Insurance Company,NA,B,79,NA
Americo Financial Life and Annuity Insurance Company,NA,B,80,NA
Americo Financial Life and Annuity Insurance Company,NA,B,81,NA
Americo Financial Life and Annuity Insurance Company,NA,B,82,NA
Americo Financial Life and Annuity Insurance Company,NA,B,83,NA
Americo Financial Life and Annuity Insurance Company,NA,B,84,NA
Americo Financial Life and Annuity Insurance Company,NA,B,85,NA
Americo Financial Life and Annuity Insurance Company,NA,B,86,NA
Americo Financial Life and Annuity Insurance Company,NA,B,87,NA
Americo Financial Life and Annuity Insurance Company,NA,B,88,NA
Americo Financial Life and Annuity Insurance Company,NA,B,89,NA
Americo Financial Life and Annuity Insurance Company,NA,B,90,NA
Americo Financial Life and Annuity Insurance Company,NA,B,91,NA
Americo Financial Life and Annuity Insurance Company,NA,B,92,NA
Americo Financial Life and Annuity Insurance Company,NA,B,93,NA
Americo Financial Life and Annuity Insurance Company,NA,B,94,NA
Americo Financial Life and Annuity Insurance Company,NA,B,95,NA
Americo Financial Life and Annuity Insurance Company,NA,B,96,NA
Americo Financial Life and Annuity Insurance Company,NA,B,97,NA
Americo Financial Life and Annuity Insurance Company,NA,B,98,NA
Americo Financial Life and Annuity Insurance Company,NA,B,99+,NA
Americo Financial Life and Annuity Insurance Company,NA,C,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,C,65,NA
Americo Financial Life and Annuity Insurance Company,NA,C,66,NA
Americo Financial Life and Annuity Insurance Company,NA,C,67,NA
Americo Financial Life and Annuity Insurance Company,NA,C,68,NA
Americo Financial Life and Annuity Insurance Company,NA,C,69,NA
Americo Financial Life and Annuity Insurance Company,NA,C,70,NA
Americo Financial Life and Annuity Insurance Company,NA,C,71,NA
Americo Financial Life and Annuity Insurance Company,NA,C,72,NA
Americo Financial Life and Annuity Insurance Company,NA,C,73,NA
Americo Financial Life and Annuity Insurance Company,NA,C,74,NA
Americo Financial Life and Annuity Insurance Company,NA,C,75,NA
Americo Financial Life and Annuity Insurance Company,NA,C,76,NA
Americo Financial Life and Annuity Insurance Company,NA,C,77,NA
Americo Financial Life and Annuity Insurance Company,NA,C,78,NA
Americo Financial Life and Annuity Insurance Company,NA,C,79,NA
Americo Financial Life and Annuity Insurance Company,NA,C,80,NA
Americo Financial Life and Annuity Insurance Company,NA,C,81,NA
Americo Financial Life and Annuity Insurance Company,NA,C,82,NA
Americo Financial Life and Annuity Insurance Company,NA,C,83,NA
Americo Financial Life and Annuity Insurance Company,NA,C,84,NA
Americo Financial Life and Annuity Insurance Company,NA,C,85,NA
Americo Financial Life and Annuity Insurance Company,NA,C,86,NA
Americo Financial Life and Annuity Insurance Company,NA,C,87,NA
Americo Financial Life and Annuity Insurance Company,NA,C,88,NA
Americo Financial Life and Annuity Insurance Company,NA,C,89,NA
Americo Financial Life and Annuity Insurance Company,NA,C,90,NA
Americo Financial Life and Annuity Insurance Company,NA,C,91,NA
Americo Financial Life and Annuity Insurance Company,NA,C,92,NA
Americo Financial Life and Annuity Insurance Company,NA,C,93,NA
Americo Financial Life and Annuity Insurance Company,NA,C,94,NA
Americo Financial Life and Annuity Insurance Company,NA,C,95,NA
Americo Financial Life and Annuity Insurance Company,NA,C,96,NA
Americo Financial Life and Annuity Insurance Company,NA,C,97,NA
Americo Financial Life and Annuity Insurance Company,NA,C,98,NA
Americo Financial Life and Annuity Insurance Company,NA,C,99+,NA
Americo Financial Life and Annuity Insurance Company,NA,D,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,D,65,NA
Americo Financial Life and Annuity Insurance Company,NA,D,66,NA
Americo Financial Life and Annuity Insurance Company,NA,D,67,NA
Americo Financial Life and Annuity Insurance Company,NA,D,68,NA
Americo Financial Life and Annuity Insurance Company,NA,D,69,NA
Americo Financial Life and Annuity Insurance Company,NA,D,70,NA
Americo Financial Life and Annuity Insurance Company,NA,D,71,NA
Americo Financial Life and Annuity Insurance Company,NA,D,72,NA
Americo Financial Life and Annuity Insurance Company,NA,D,73,NA
Americo Financial Life and Annuity Insurance Company,NA,D,74,NA
Americo Financial Life and Annuity Insurance Company,NA,D,75,NA
Americo Financial Life and Annuity Insurance Company,NA,D,76,NA
Americo Financial Life and Annuity Insurance Company,NA,D,77,NA
Americo Financial Life and Annuity Insurance Company,NA,D,78,NA
Americo Financial Life and Annuity Insurance Company,NA,D,79,NA
Americo Financial Life and Annuity Insurance Company,NA,D,80,NA
Americo Financial Life and Annuity Insurance Company,NA,D,81,NA
Americo Financial Life and Annuity Insurance Company,NA,D,82,NA
Americo Financial Life and Annuity Insurance Company,NA,D,83,NA
Americo Financial Life and Annuity Insurance Company,NA,D,84,NA
Americo Financial Life and Annuity Insurance Company,NA,D,85,NA
Americo Financial Life and Annuity Insurance Company,NA,D,86,NA
Americo Financial Life and Annuity Insurance Company,NA,D,87,NA
Americo Financial Life and Annuity Insurance Company,NA,D,88,NA
Americo Financial Life and Annuity Insurance Company,NA,D,89,NA
Americo Financial Life and Annuity Insurance Company,NA,D,90,NA
Americo Financial Life and Annuity Insurance Company,NA,D,91,NA
Americo Financial Life and Annuity Insurance Company,NA,D,92,NA
Americo Financial Life and Annuity Insurance Company,NA,D,93,NA
Americo Financial Life and Annuity Insurance Company,NA,D,94,NA
Americo Financial Life and Annuity Insurance Company,NA,D,95,NA
Americo Financial Life and Annuity Insurance Company,NA,D,96,NA
Americo Financial Life and Annuity Insurance Company,NA,D,97,NA
Americo Financial Life and Annuity Insurance Company,NA,D,98,NA
Americo Financial Life and Annuity Insurance Company,NA,D,99+,NA
Americo Financial Life and Annuity Insurance Company,AA,F,> 65,6309
Americo Financial Life and Annuity Insurance Company,AA,F,65,2187
Americo Financial Life and Annuity Insurance Company,AA,F,66,2187
Americo Financial Life and Annuity Insurance Company,AA,F,67,2187
Americo Financial Life and Annuity Insurance Company,AA,F,68,2187
Americo Financial Life and Annuity Insurance Company,AA,F,69,2272
Americo Financial Life and Annuity Insurance Company,AA,F,70,2352
Americo Financial Life and Annuity Insurance Company,AA,F,71,2429
Americo Financial Life and Annuity Insurance Company,AA,F,72,2506
Americo Financial Life and Annuity Insurance Company,AA,F,73,2583
Americo Financial Life and Annuity Insurance Company,AA,F,74,2660
Americo Financial Life and Annuity Insurance Company,AA,F,75,2738
Americo Financial Life and Annuity Insurance Company,AA,F,76,2807
Americo Financial Life and Annuity Insurance Company,AA,F,77,2876
Americo Financial Life and Annuity Insurance Company,AA,F,78,2947
Americo Financial Life and Annuity Insurance Company,AA,F,79,3019
Americo Financial Life and Annuity Insurance Company,AA,F,80,3094
Americo Financial Life and Annuity Insurance Company,AA,F,81,3168
Americo Financial Life and Annuity Insurance Company,AA,F,82,3244
Americo Financial Life and Annuity Insurance Company,AA,F,83,3322
Americo Financial Life and Annuity Insurance Company,AA,F,84,3400
Americo Financial Life and Annuity Insurance Company,AA,F,85,3479
Americo Financial Life and Annuity Insurance Company,AA,F,86,3552
Americo Financial Life and Annuity Insurance Company,AA,F,87,3626
Americo Financial Life and Annuity Insurance Company,AA,F,88,3701
Americo Financial Life and Annuity Insurance Company,AA,F,89,3775
Americo Financial Life and Annuity Insurance Company,AA,F,90,3848
Americo Financial Life and Annuity Insurance Company,AA,F,91,3908
Americo Financial Life and Annuity Insurance Company,AA,F,92,3967
Americo Financial Life and Annuity Insurance Company,AA,F,93,4024
Americo Financial Life and Annuity Insurance Company,AA,F,94,4081
Americo Financial Life and Annuity Insurance Company,AA,F,95,4139
Americo Financial Life and Annuity Insurance Company,AA,F,96,4180
Americo Financial Life and Annuity Insurance Company,AA,F,97,4222
Americo Financial Life and Annuity Insurance Company,AA,F,98,4264
Americo Financial Life and Annuity Insurance Company,AA,F,99+,4307
Americo Financial Life and Annuity Insurance Company,NA,F HD,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,65,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,66,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,67,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,68,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,69,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,70,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,71,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,72,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,73,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,74,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,75,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,76,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,77,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,78,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,79,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,80,NA
